,英文,中文
128,carrot,n. 胡萝卜
129,carry,v. 携带
130,cartoon,n. 动画片
131,case*,n. 案件，示例
132,cash*,n. 现金
133,cat,n. 猫
134,catch,v. 赶上，抓住
135,cause,n. 原因  v. 造成
136,celebrate,v. 庆祝
137,cent,n. 美分
138,central,adj. 中央的，中心的
139,centre,n. 中心(AmE center)
140,century,n. 世纪
141,certain,adj.确定的 pron.某些
142,certainly,adv. 确定地
143,chair,n. 椅子
144,chalk,n. 粉笔
145,challenge,"n.挑战  v.挑战, 质疑"
146,champion*,n. 冠军
147,chance,n. 机会
148,change,v./n. 改变
149,character,"n. 角色,性格,特色,文字"
150,clean,v. 清扫
151,clear,v.清除adj.清楚明白的
152,clever,adj. 聪明的
153,click*,v. 点击
154,climate*,n. 气候
155,climb,v. 爬
156,clock,n. 钟表
157,close,v. 关闭
158,clothes,n. 衣服
159,cloud,n. 云
160,cloudy,adj. 多云的
161,club,n. 俱乐部
162,coach,n. 教练，长途客车
163,coal,n. 煤
164,coast,n. 海岸线
165,coat,n. 大衣
166,coffee,n. 咖啡
167,coin,n. 硬币
168,cold,adj. 寒冷的
169,collect,v. 收集
170,college,n. 学院
171,colour,n. 颜色
172,come,v. 来
173,comfortable,adj. 舒服的
174,common,adj. 普通的，常见的
175,communicate,v. 沟通，交流
176,communication,n. 沟通，交流
177,community,n. 社区，团体
178,company,n. 公司，陪伴
179,compare,v. 比较
180,count,v. 数
181,country,n. 国家
182,countryside,n. 乡村
183,couple,n. 夫妻
184,courage,n. 勇气
185,course,n. 课程，讲座
186,cousin,n. 堂/表兄弟姐妹
187,cover,v. 覆盖
188,cow,n. 母牛，奶牛
189,crayon,n. 蜡笔
190,crazy,adj. 疯狂的
191,create,v. 创造
192,creative*,adj. 有创造力的
193,criticize,v. 批评
194,cross,v. 穿越；交叉
195,crowd,n. 人群
196,crowded*,adj. 拥挤的
197,cry,v. 哭
198,cucumber*,n. 黄瓜
199,culture,n. 文化
200,cup,n. 杯子，茶杯
201,curious,adj. 好奇的
202,customer,n. 顾客
203,cut,v. 剪，切
204,cute,adj. 可爱的
205,dad,n. 爸爸
206,daily,adj. 每天的
207,dance,v. 跳舞
208,danger,n. 危险
209,dangerous,adj. 危险的
210,different,adj. 不同的
211,difficult,adj. 困难的
212,difficulty,n. 困难
213,dig,v. 挖
214,digital*,adj. 数字的，数码的
215,dining,n. 进餐(dine现在分词)
216,dinner,n. 晚餐
217,direct,v. 指导，引领，指挥
218,direction,n. 方向，指示
219,director,n. 导演，指挥家
220,dirty,adj. 脏的
221,disappoint,v. 使......失望
222,disaster*,n. 灾难
223,discover,v. 发现
224,discovery,n. 发现
225,discuss,v. 讨论
226,discussion,n. 讨论
227,disease*,n. 疾病
228,dish,n. 碟，盘，一道菜
229,divide,v. 分开
230,do,v. 做
231,doctor,n. 医生
232,dog,n. 狗
233,doll*,n. 洋娃娃
234,dollar,n. 美元
235,donate*,v. 捐赠
236,door,n. 门
237,double,adj. 双倍的
238,doubt,v. 怀疑
239,down,adv. 向下
240,either,det./pron.(两者)任何一个
241,elder,adj. 年长的
242,electric*,adj. 用电的
243,electronic,adj. 电子的
244,elephant,n. 大象
245,else,adv. 其他
246,email,n. 电子邮件
247,emergency*,n. 突发事件
248,emotion,n. 情绪
249,emperor*,n. 皇帝
250,empress*,n. 女皇，皇后
251,empty,adj. 空的
252,encourage,v. 鼓励
253,end,n. 终点，结局
254,enemy,n. 敌人
255,energetic*,adj. 精力充沛的
256,energy,n. 能量
257,engineer,n. 工程师
258,England,n. 英格兰
259,English,"n.英国人,英语 adj.英国的"
260,enjoy,v. 享受
261,enough,adj. 足够的
262,enter,v. 进入
263,environment,n. 环境
264,era*,n. 时代，纪元
265,eraser,n. 橡皮
266,especially,adv. 尤其，特别
267,Europe,n. 欧洲
268,European,n. 欧洲人 adj. 欧洲的
269,even,adv. 甚至
270,fact,n. 事实
271,factory,n. 工厂
272,fail,v. 失败
273,fair,adj. 公平的，晴朗的
274,fall,v. 降落  n. 秋天
275,false*,adj. 错误的
276,familiar*,adj. 熟悉的
277,family,n. 家庭，家人
278,famous,adj. 著名的
279,fan,n. 粉丝；风扇
280,fantastic,adj. 极好的
281,far,adj. 远的  adv. 远
282,farm,n. 农场
283,farmer,n. 农民
284,fashion*,n. 时尚
285,fast,adj. 快的
286,fat,adj. 胖的
287,father,n. 父亲
288,favourite,adj.最喜欢的(AmE favorite)
289,fear,n./v. 害怕，恐惧
290,feed,v. 喂养
291,feel,v. 感觉
292,feeling,n. 感觉
293,festival,n. 节日
294,fever,n. 发热，发烧
295,few,adj./pron. 很少，几个
296,field,n. 田地
297,fight,v. 打架
298,fill,v. 填满，装满
299,film,n. 电影
300,force,n. 力，武力  v. 强迫
301,foreign,adj. 外国的
302,forest,n. 森林
303,forever*,adv. 永远
304,forget,v. 忘记
305,fork,n. 餐叉
306,form,"v. 形成  n. 种类, 表格"
307,forward*,adv. 向前地 v. 发送
308,found*,v. find过去式 adj. 找到的
309,fox*,n. 狐狸
310,France,n. 法国
311,free,adj. 自由的
312,freeze*,v. 冰冻，冻结
313,French,"n.法国人,法语 adj.法国的"
314,fresh,adj. 新鲜的
315,fridge,n. 冰箱
316,friend,n. 朋友
317,friendly,adj. 友好的
318,friendship,n. 友谊
319,frighten,v. 恐吓
320,from,prep. 来自
321,front*,adj. 前面的 n. 前面
322,fruit,n. 水果
323,full,adj. 满的
324,fun,n. 乐趣
325,funny,adj. 有趣的
326,future,n. 未来
327,game,n. 游戏
328,garden,n. 花园
329,gas*,n. 气体，天然气
330,grandpa,n. 祖父，外祖父
331,grandparent,n. 祖父母
332,grandson,n. 孙子，外孙子
333,grape,n. 葡萄
334,grass,n. 草，青草
335,great,adj. 非常好
336,green,n. 绿色 adj. 绿色的
337,greet,v. 问候
338,grey,n. 灰色 adj. 灰色的
339,ground,n. 地面
340,group,n. 小组
341,grow,v. 成长，发展
342,guard,n. 卫兵  v. 守卫
343,guess,v. 猜
344,guest,n. 顾客
345,guide,"n. 指南, 导游  v. 指引"
346,guitar,n. 吉他
347,gun,n. 枪
348,gym*,n. 体育馆
349,gymnasium*,
350,habit,n. 习惯
351,hair,n. 头发
352,half,n. 一半 adj. 一半的
353,hall,n. 门厅，大厅
354,hamburger,n. 汉堡
355,hand,n. 手
356,handbag,n. 手提包
357,handsome,adj. 帅气的
358,hang,v. 悬挂
359,happen,v. 发生
360,hike*,v. /n. 远足
361,hill,n. 小山，山丘
362,him,pron. 他
363,himself,pron. 他自己
364,his,det. 他的/他的(物品)
365,history,n. 历史
366,hit,v. 撞击，打击
367,hobby,n. 爱好
368,hold,v. 拿着，掌握
369,hole,n. 洞，孔
370,holiday,n. 假日
371,home,n. 家
372,hometown,n. 家乡
373,homework,n. 作业
374,honest,adj. 诚实的
375,honey*,n. 蜂蜜，亲爱的
376,honour,n. 荣誉 v. 尊重
377,hope,n. /v. 希望
378,horse,n. 马
379,hospital,n. 医院
380,host*,"n.主人, 主办方 v.主持"
381,hostess*,n. 女主人
382,hot,adj. 热的
383,hotel,n. 酒店，宾馆
384,hour,n. 小时
385,house,n. 房子
386,housework,n. 家务
387,how,adv. 怎样，如何
388,however,adv. 无论怎样
389,hug*,n. /v. 拥抱
390,insect*,n. 昆虫
391,inside,adv. 在里面，在内部
392,insist,v. 坚持
393,instead,adv. 代替，反而
394,instruction,n. 说明，指示
395,instrument,n. 乐器，设备
396,interest,n. 兴趣  v. 使感兴趣
397,interesting,adj. 令人感到有趣的
398,international,adj. 国际的
399,Internet,n. 因特网
400,interrupt,v. 打断，插话
401,interview,n. 面试
402,into,prep. 到...里面
403,introduce,v. 介绍
404,introduction,n. 介绍
405,invent,v. 发明
406,invention,n. 发明
407,invite,v. 邀请
408,involve,v. 包括
409,island,n. 小岛
410,it,pron. 它
411,its,det. 它的/它的(物品)
412,itself,pron. 它自己
413,jacket,n. 夹克衫
414,Japan,n. 日本
415,Japanese,"n.日本人,日语 adj.日本的"
416,jeans*,n. 牛仔裤
417,job,n. 工作
418,jog*,v. 慢跑
419,join,v. 加入
420,lady,n. 女士
421,lake,n. 湖
422,lamp*,n. 台灯
423,land,n. 陆地
424,landscape*,n. 地标，景观
425,language,n. 语言
426,lantern*,n. 灯笼
427,laptop*,n. 笔记本电脑
428,large,adj. 巨大的
429,last,"adj./adv. 最后的, 最终的"
430,late,adj. 后来的，迟到的
431,later,adv. 后来  adj. 后来的
432,laugh,v. 大笑，嘲笑
433,law,n. 法律
434,lawyer*,n. 律师
435,lay,v. 放置，铺放
436,lazy,adj. 懒惰的
437,lead,v. 领导
438,leader,n. 领导人
439,leaf,n. 树叶
440,learn,v. 学习
441,least,adj. 最少的(little最高级)
442,leave,v. 离开
443,left,adj.左边的 v.leave过去式
444,leg,n. 腿，大腿
445,lemon,n. 柠檬
446,lend,v. 借出
447,less,adj.更少(llittle比较级)
448,lesson,n. 课，课程
449,let,v. 允许
450,loud,adj. 大声的
451,love,v. 爱
452,lovely,adj. 可爱的
453,low,adj. 低的
454,luck,n. 幸运
455,lucky,adj. 幸运的
456,lunch,n. 午餐
457,machine,n. 机器
458,mad,adj. 疯狂的
459,madam*,n. 女士
460,magazine,n. 杂志
461,magic,adj. 有魔力的
462,mail,n. 邮件
463,main,adj. 主要的
464,make,v. 做
465,mall*,n. 商场，购物中心
466,man,n. 男人，人
467,manage,v. 管理
468,manager,n. 经理
469,manner,n. 方式，行为举止
470,many,det./pron./adj. 许多
471,map,n. 地图
472,mark,v. 标记  n. 记号
473,market,n. 市场
474,marry,v. 结婚
475,master,"n.主人,精通者 v.精通"
476,match,v. 匹配
477,material,n. 材料  adj. 物质的
478,mathematics*,n. 数学
479,maths,
480,Miss,n. 小姐，女士
481,miss,v. 错过，思念
482,missing,v.miss现在分词adj.丢失的
483,mistake,n. 错误
484,mix,v. 混合
485,mobile phone,n. 手机
486,model,n. 模型，模范，模特
487,modern,adj. 现代的，当代的
488,moment,n. 片刻，瞬间
489,money,n. 钱
490,monkey,n. 猴子
491,month,n. 月，月份
492,moon,n. 月亮
493,more,adj.更多(many/much比较级)
494,morning,n. 早上
495,most,adj.最多(many/much最高级)
496,mother,n. 妈妈
497,mountain,n. 山，山脉
498,mouse,n. 老鼠 (pl. mice)
499,mouth,n. 嘴
500,move,v. 移动
501,movie,n. 电影
502,Mr,abbr. 先生
503,Mrs,abbr. 太太
504,Ms,abbr. 小姐，女士
505,much,det. /pron. 许多
506,museum,n. 博物馆
507,music,n. 音乐
508,musician,n. 音乐家
509,must,modal 必须
510,none,pron. 什么也没有
511,noodle,n. 面条
512,noon,n. 正午，中午
513,nor,conj./adv. 也不
514,normal,adj. 正常的
515,north,n. 北方
516,northern,adj. 北方的
517,nose,n. 鼻子
518,not,adv. 不，没有
519,note,n. 笔记，便条
520,notebook,n. 笔记本
521,nothing,pron. 没有什么东西
522,notice,v. 注意到 n. 通告
523,novel*,n. 小说 adj. 新颖的
524,now,adv. 现在，目前
525,number,n. 数字
526,nurse,n. 护士
527,object,n. 物品，目标
528,obvious,adj. 显而易见的
529,ocean*,n. 大海，海洋
530,o'clock,......点钟
531,of,prep. 的
532,off,adv. 离开  adj. 落下
533,offer,v. 主动提供
534,office,n. 办公室
535,officer*,n. 官员
536,often,adv. 经常
537,oil,n. 油
538,OK,int. 好的
539,old,adj. 老的
540,pain,n. 伤痛
541,paint,n. 油漆
542,pair,n. 一对  v. 配对
543,palace,n. 宫殿
544,pale,adj. 苍白的
545,pancake,n. 薄饼，烙饼
546,panda,n. 熊猫
547,paper,n. 纸
548,paragraph,n. 段落
549,pardon,v. 再说一遍，原谅
550,parent,n. 父母
551,park,n. 公园
552,part,n. 部分
553,partner,n. 搭档，同伴
554,party,n. 派对
555,pass,v. 经过，通过
556,passage,n. 文章
557,passenger,n. 乘客
558,passport,n. 护照
559,past,adj. 过去的
560,patient,n. 病人 adj. 有耐心的
561,pay,v. 支付
562,PE,n. 体育，体育课
563,peace,n. 和平
564,pear,n. 梨
565,pen,n. 钢笔
566,pencil,n. 铅笔
567,penguin*,n. 企鹅
568,people,n. 人们
569,pepper*,n. 胡椒粉
570,planet,n. 星球
571,plant,n. 植物  v. 种植
572,plastic*,adj. 塑料的
573,plate*,n. 盘子，碟子
574,play,v. 玩，玩耍
575,player,n. 运动员
576,playground,n. 操场
577,pleasant,adj. 高兴的，愉悦的
578,please,v. 请，让人心情愉悦
579,pleasure,n. 高兴，愉快
580,plenty,pron. 许多，大量
581,pocket,n. 口袋
582,poem,n. 诗，诗歌
583,poet*,n. 诗人
584,point,v. 指，指出 n. 点
585,police,n. 警察
586,policeman,n. 警察，男警察
587,policewoman,n. 女警察
588,polite,adj. 礼貌的
589,pollute,v. 污染
590,pollution,n. 污染
591,pool,n. 池塘
592,poor,adj. 贫穷的
593,popular,adj. 受欢迎的
594,population,n. 人口
595,pork*,n. 猪肉
596,porridge*,n. 麦片粥，粥
597,position*,n. 位置
598,positive*,adj. 积极的
599,possible,adj. 可能的
600,produce,v. 生产
601,product,n. 产品
602,programme,"n. 方案, 节目  v. 计划"
603,progress,n. 进步  v. 改进
604,project,n. 项目  v. 规划
605,promise,n. /v. 保证
606,pronounce,v. 发音
607,pronunciation,n. 发音
608,proper,adj. 合适的，恰当的
609,protect,v. 保护
610,proud,adj. 骄傲自豪的
611,prove,v. 证明
612,provide,v. 提供
613,public,adj. 公共的
614,publish*,v. 出版，发行，发布
615,pull,v. 拉
616,punish,v. 惩罚
617,pupil,n. 小学生
618,purple,n. 紫色
619,purpose,n. 目的
620,push,v. 推
621,put,v. 放置
622,quality*,n. 质量 adj. 优质的
623,quarter,n. 四分之一，一刻钟
624,queen,n. 女王
625,question,n. 问题
626,quick,adj. 快的
627,quiet,adj. 安静的
628,quite,adv. 相当
629,rabbit,n. 兔子
630,relationship,n. 关系
631,relative,n. 亲戚 adj. 相关的
632,relax,v. 放松
633,remain,v. 保持，仍然是
634,remember,v. 记住
635,remind,v. 提醒
636,repair,v. 修复
637,repeat,v. 重复
638,reply,n. /v. 回复
639,report,n. /v. 报告
640,require,v. 需要
641,research,n. /v. 研究
642,respect,v. 尊敬
643,responsible,adj. 负责任的
644,rest,v. 休息 adj. 其余的
645,restaurant,n. 饭店
646,result,n. 结果
647,return,v. 返回
648,review,"n./v. 复习, 回顾, 检查"
649,rice,n. 米饭
650,rich,adj. 富有的，丰富的
651,ride,v. 骑
652,right,adj. 正确的，右边的
653,ring,"v. 响 n. 铃声, 戒指"
654,rise,v. 上升
655,risk,n. 风险，冒险
656,river,n. 河流
657,road,n. 路
658,robot,n. 机器人
659,rock,n. 岩石
660,schoolbag,n. 书包
661,science,n. 科学
662,scientist,n. 科学家
663,scissors,n. 剪刀
664,score,"n. 分数, 比分  v. 得分"
665,screen,n. 屏幕
666,sea,n. 大海
667,search,v. 搜索，搜查
668,season,n. 季节
669,seat,n. 座位
670,second,ord. 第二
671,secret,n. 秘密  adj. 秘密的
672,secretary,n. 秘书
673,see,v. 看
674,seem,"v. 好像, 似乎, 看起来"
675,seldom,adv. 很少
676,sell,v. 卖
677,send,v. 发送
678,sense,n. 感觉  v. 感觉到
679,sentence,n. 句子
680,separate,v.(使)分开 adj.分开的
681,serious,adj. 严肃的
682,serve,v. 服务
683,service,n. 服务
684,set,v. 设置 n. (一)套
685,several,det. 几个 adj. 几个的
686,shake,v. 摇动，抖动
687,shall,modal 应该
688,shame,n. 羞耻
689,shape,n. 形状，外形
690,similar,adj. 相似的
691,simple,adj. 简单的
692,since,conj. /prep. 自从
693,sing,v. 唱
694,single,adj. 单一的
695,sir,n. 先生
696,sister,n. 姐姐，妹妹
697,sit,v. 坐
698,situation,n. 情况，现状
699,size,n. 型号，尺码，大小
700,skate,v. 滑冰
701,ski*,v. 滑雪
702,skill,n. 技能
703,skirt,n. 裙子
704,sky,n. 天空
705,sleep,v. 睡觉
706,sleepy,adj. 困的，睡着的
707,slim*,adj. 苗条的
708,slow,adj. 缓慢的
709,small,adj. 小的
710,smart,adj. 聪明的，敏捷的
711,smell,v. 闻，闻起来
712,smile,v. 微笑
713,smoke,v. 吸烟  n. 烟
714,smooth,adj. 平坦的，光滑的
715,snack*,n. 零食
716,snake,n. 蛇
717,snow,n. 雪 v. 下雪
718,snowy,adj. 下雪的
719,so,conj. 所以
720,speed,n. 速度
721,spell,v. 拼写
722,spend,v. 花费
723,spirit,n. 精神
724,spoon,n. 勺子
725,sport,n. 运动
726,spread,v. 扩散，传播
727,spring,n. 春天；弹簧
728,square,n. 正方形；广场
729,stage*,n. 阶段，状态
730,stairs,n. 楼梯
731,stamp,n. 邮票
732,stand,v. 站立
733,standard,n. 标准
734,star,n. 星星，恒星
735,start,v. 开始
736,state,v. 陈述  n. 州；状态
737,station,n. 车站
738,stay,v. 停留；保持
739,steal,v. 偷
740,step,n. 步，步伐
741,stick,"v. 刺,戳,粘贴  n. 木棍"
742,still,adv. 仍然
743,stomach,n. 胃
744,stomachache,n. 胃痛
745,stone,n. 石头
746,stop,v. 停止 n. 车站
747,store,n. 商店
748,storm,n. 暴风雪，风暴
749,story,n. 故事
750,suppose,v. 推断，认为
751,sure,adj. 确定的
752,surface,n. 表面
753,surprise,n. 惊喜
754,survey,n. /v. 调查
755,survive*,v. 幸存，继续存在
756,sweater,n. 毛衣
757,sweep*,v. 打扫，清扫
758,sweet,adj. 甜的
759,swim,v. 游泳
760,swimming,v. swim现在分词
761,symbol*,n. 象征，符号
762,system,n. 系统
763,table,n. 桌子
764,tail,n. 尾巴
765,take,v. 带走
766,talent,n. 天才，有才能的人
767,talk,v. 说话，聊天
768,tall,adj. 高的
769,tap*,n. 水龙头 v. 轻拍
770,tape,n. 录音带
771,task,n. 任务
772,taste,"v.品尝,尝起来 n.味道"
773,taxi,n. 出租车
774,tea,n. 茶
775,teach,v. 教
776,teacher,n. 教师
777,team,n. 团队
778,teamwork*,n. 团队合作
779,technology,n. 科技
780,think,v. 思考
781,thirsty,adj. 口渴的
782,this,det. /pron. 这个
783,those,det. /pron. 那些
784,though,"adv. /conj. 虽然, 尽管"
785,thought,v.think过去式 n.想法
786,throat*,n. 喉咙
787,through,prep. 穿过
788,throw,v. 扔，投，掷
789,thunder*,v. 打雷 n. 雷声
790,ticket,n. 票
791,tidy,v. 整理  adj. 整洁的
792,tie,v. 系 n. 领带
793,tiger,n. 老虎
794,time,n. 时间
795,tiny,adj. 渺小的
796,tired,adj. 感到疲惫的
797,title,n. 文章标题，名称
798,to,prep. 向，朝
799,today,n. /adv. 今天，当今
800,tofu*,n. 豆腐
801,together,adv. 一起
802,toilet,n. 洗手间
803,tomato,n. 西红柿
804,tomorrow,n. /adv. 明天，未来
805,ton,n. 吨
806,tonight,n. 今晚 adv. 在今晚
807,too,adv. 也
808,tool,n. 工具
809,tooth,n. 牙齿
810,T-shirt,n. T恤衫
811,turn,v. 朝...转，变得
812,TV,n. 电视
813,twice,adv. 两次
814,typical,adj. 典型的
815,ugly,adj. 丑陋的
816,UK,n. 英国
817,umbrella,n. 雨伞
818,uncle,n. 叔叔
819,under,prep. 在...下面
820,underground,n. 地铁
821,underline,v. 强调，在...下画线
822,understand,v. 理解，明白
823,uniform*,n. 校服
824,unit,n. 单元
825,universe*,n. 宇宙
826,university,n. 大学
827,unless,conj. 除非
828,until,conj. /prep. 到...为止
829,up,prep. /adv. 向上
830,upon,prep. 在...上
831,upset,adj.沮丧的 v.使烦恼
832,us,pron. 我们
833,US,n. 美国
834,use,v. 使用
835,used,v.use过去式 adj.用过的
836,useful,adj. 有用的
837,usual,adj. 通常的
838,usually,adv. 通常
839,vacation,n. 假期
840,water,n. 水
841,watermelon,n. 西瓜
842,wave*,n. 波动 v. 挥手
843,way,n. 方式，方法
844,we,pron. 我们
845,weak,adj. 虚弱的
846,wealth,n. 财富
847,wear,v. 穿
848,weather,n. 天气
849,website,n. 网站
850,week,n. 星期
851,weekday,n. 工作日
852,weekend,n. 周末
853,weigh,"v. 称重, ...的重量是"
854,weight,n. 重量
855,welcome,v. 欢迎
856,well,adv. 好
857,west,n. 西方，西部
858,western,adj. 西方的
859,wet,adj. 潮湿的
860,whale*,n. 鲸鱼
861,what,det. /pron. 什么
862,whatever,det. /pron. 无论什么
863,wheel,n. 轮子，车轮
864,when,adv. /pron. 什么时候
865,whenever,adv. /pron. 无论何时
866,where,adv. /pron. 哪里
867,whether,conj. 是否
868,which,det. /pron. 哪一个
869,while,conj. 在...期间
870,world,n. 世界
871,worry,v. 担心
872,worse,adj.更糟糕(bad比较级)
873,worst,adj.最糟糕(bad最高级)
874,worth,adj. 有...价值
875,would,modal 将要，将会
876,wound,n. 伤口
877,write,v. 写
878,writer,n. 作家
879,wrong,adj. 错误的
880,X-ray,n. X光，X射线
881,yard,n. 院子
882,year,n. 年
883,yellow,n. 黄色 adj. 黄色的
884,yes,int. 是的
885,yesterday,n. 昨天 adv. 在昨天
886,yet,adv. 还没有
887,yogurt*,n. 酸奶
888,you,pron. 你
889,young,adj. 年轻的
890,your,det. 你的
891,yours,pron. 你的(物品)
892,yourself,pron. 你自己
893,youth*,n. 青年，青春
894,zoo,n. 动物园
895,zero,num. 0
896,one,num. 1
897,two,num. 2
898,three,num. 3
899,four,num. 4
900,April,n. 四月
901,May,n. 五月
902,June,n. 六月
903,July,n. 七月
904,August,n. 八月
905,September,n. 九月
906,October,n. 十月
907,November,n. 十一月
908,December,n. 十二月
909,Monday,n. 星期一
910,Tuesday,n. 星期二
911,Wednesday,n. 星期三
912,Thursday,n. 星期四
913,Friday,n. 星期五
914,Saturday,n. 星期六
915,Sunday,n. 星期日
916,third*,ord. 第3
917,fourth*,ord. 第4
918,fifth*,ord. 第5
919,sixth*,ord. 第6
920,seventh*,ord. 第7
921,eighth*,ord. 第8
922,ninth*,ord. 第9
923,tenth*,ord. 第10
924,eleventh*,ord. 第11
925,twelfth*,ord. 第12
926,thirteenth*,ord. 第13
927,fourteenth*,ord. 第14
928,fifteenth*,ord. 第15
929,sixteenth*,ord. 第16
930,afford,v. 买得起，提供
931,afraid,adj. 害怕的，担心的
932,Africa,n. 非洲
933,African,n.非洲人 adj.非洲的
934,after,"prep. 在…之后, 后来"
935,afternoon,n. 下午
936,again,adv. 再一次
937,against,prep. 反对，违反
938,age,n. 年龄，时代
939,ago,adv. 以前
940,agree,v. 同意
941,agreement,n. 同意
942,ahead*,adv. 向前地，提前
943,aid*,n. /v. 帮助，援助
944,aim*,n. 目标 v. 目的是
945,air,n. 空气，大气，广播
946,airport,n. 机场
947,alarm*,n. 闹钟
948,alive,adj. 活着的，活泼的
949,all,pron. /det. 所有的
950,allow,v. 允许
951,almost,adv. 几乎，差不多
952,alone,adj. /adv. 独自
953,along,prep. 沿着 adv. 一起
954,aloud,adv. 大声地
955,already,adv. 已经
956,also,adv. 也
957,although,conj. 尽管，虽然
958,always,adv. 总是
959,a.m.*,n. 上午
960,artificial intelligence*,AI，人工智能
961,artist,n. 艺术家，美术家
962,as,prep. 如同 conj. 当
963,Asia,n. 亚洲
964,Asian,n. 亚洲人 adj. 亚洲的
965,ask,v. 询问
966,asleep,adj. 睡着的
967,astronaut*,n. 宇航员
968,at,prep. 在...
969,athlete*,n. 运动员
970,attack*,v. 攻击
971,attend,v. 参加
972,attention,"n. 注意力, 关心, 立正"
973,attitude,n. 态度
974,attract,v. 吸引，引起
975,aunt,n. 姑姑，婶婶
976,Australia,n. 澳大利亚
977,Australian,n.澳大利亚人 adj.澳大利亚的
978,autumn,n. 秋天
979,average*,adj. 平均的，普通的
980,avoid,v. 避免
981,awake,adj. 醒着的 v. 唤醒
982,award*,n. 奖 v. 奖励
983,aware*,adj. 意识到的
984,away,"adv. 离去, 在远处"
985,awful,"adj. 可怕的,极坏的,非常的"
986,baby,n. 婴儿，宝贝
987,back,adj./adv.后面n.后背v.支持
988,background,n. 背景
989,bad,adj. 坏的，糟糕的
990,begin,v. 开始
991,behave,v. 表现
992,behind,prep.在...之后adv.在后面
993,believe,v. 相信
